Number,ID,Birth Place,Native Language,Other Language(s),Age,Sex,Age of Onset,Learning Method,English Residence,Length of Residence
282,939,"tampa, florida, usa",english,none,20,male,0,naturalistic,usa,20 years
283,951,"pelham, new york, usa",english,spanish ,18,male,0,naturalistic,usa,18 years
284,952,"gainesville, florida, usa",english,spanish ,33,male,0,naturalistic,usa,33 years
285,961,"melbourne, australia",english,none,50,male,0,naturalistic,"australia, hong kong, usa",50 years
286,977,"beaumont, texas, usa",english,french latin hebrew spanish ,21,female,0,naturalistic,usa,21 years
287,981,"singapore, singapore",english,cantonese mandarin japanese ,27,female,0,naturalistic,singapore,27 years
288,982,"st. louis, missouri, usa",english,none,26,female,0,naturalistic,usa,26 years
289,983,"fairfax, virginia, usa",english,italian spanish latin french ,19,female,0,naturalistic,usa,19 years
290,986,"duluth, georgia, usa",english,none,20,male,0,naturalistic,usa,20 years
291,1026,"belize city, belize",english,spanish creole dutch ,18,male,0,naturalistic,"belize, usa",18 years
292,1051,"kansas city, missouri, usa",english,none,38,male,0,naturalistic,usa,38 years
293,1052,"billings, montana, usa",english,none,22,female,0,naturalistic,usa,22 years
294,1060,"naracoorte, australia",english,indonesian french ,19,female,0,naturalistic,"australia, usa",19 years
295,1067,"airdrie, alberta, canada",english,french german italian ,25,male,0,naturalistic,canada,25 years
296,1070,"edmonton, alberta, canada",english,french ,18,female,0,naturalistic,canada,18 years
297,1071,"lindenhurst, new york, usa",english,german ,19,male,0,naturalistic,usa,19 years
298,1072,"lismore, new south wales, australia",english,none,22,male,0,naturalistic,australia,22 years
299,1075,"windsor, ontario, canada",english,japanese ,59,male,0,naturalistic,usa,59 years
300,1076,"dublin, ireland",english,irish ,18,male,0,naturalistic,ireland,18 years
301,1078,"toronto, ontario, canada",english,none,41,male,0,naturalistic,canada,41 years
302,1085,"melbourne, australia",english,finnish ,22,male,0,naturalistic,australia,22 years
303,1086,"anaheim, california, usa",english,arabic ,45,female,0,naturalistic,usa,45 years
304,1088,"clare, ireland",english,irish french ,20,female,0,naturalistic,ireland,20 years
305,1094,"la paz, bolivia",english,arabic spanish ,24,female,0,naturalistic,"uk, usa",7 years
306,1093,"london, uk",english,none,24,female,0,naturalistic,"uk, usa",24 years
307,1100,"alexandria, va, usa",english,spanish ,48,male,0,naturalistic,"usa, new zealand",48 years
308,1101,"cardiff, wales, uk",english,welsh ,34,male,0,naturalistic,"uk, new zealand",34 years
309,1105,"dunedin, new zealand",english,german french maori japanese ,44,female,0,naturalistic,new zealand,44 years
310,1108,"oxford, uk",english,punjabi ,37,female,0,naturalistic,"uk, usa",22 years
311,1110,"detroit, michigan, usa",english,none,38,female,0,naturalistic,usa,38 years
312,1113,"edmonton, alberta, canada",english,french ,40,female,0,naturalistic,canada,40 years
313,1119,"silver spring, maryland, usa",english,spanish ,28,male,0,naturalistic,usa,28 years
314,1120,"memphis, tennessee, usa",english,french ,26,female,0,naturalistic,usa,26 years
315,1121,"los angeles, california, usa",english,none,25,male,0,naturalistic,usa,25 years
316,1122,"sacramento, california, usa",english,none,33,male,0,naturalistic,usa,33 years
317,1132,"burlington, vermont, usa",english,none,26,male,0,naturalistic,usa,26 years
318,1137,"sarnia, ontario, canada",english,none,46,male,0,naturalistic,canada,46 years
319,1138,"grimsby, lincolnshire, uk",english,none,29,male,0,naturalistic,uk,29 years
320,1162,"maryland county, liberia",english,grebo ,59,female,0,naturalistic,"liberia, usa",59 years
321,1163,"brooklyn, new york, usa",english,yiddish french hebrew ,52,male,0,naturalistic,usa,52 years
322,1172,"yorkton, saskatchewan, canada",english,none,29,male,0,naturalistic,canada,29 years
323,1173,"regina, saskatchewan, canada",english,none,31,female,0,naturalistic,canada,31 years
324,1174,"st. marys, ontario, canada",english,french ,28,male,0,naturalistic,canada,28 years
325,1176,"reading, pennsylvania, usa",english,italian ,32,male,0,naturalistic,usa,32 years
326,1188,"fairborn, ohio, usa",english,none,53,male,0,naturalistic,usa,50 years
327,1205,"dunedin, florida, usa",english,none,27,male,0,naturalistic,usa,27 years
328,1206,"hollywood, florida, usa",english,thai ,23,female,0,naturalistic,usa,23 years
329,1207,"boise, idaho, usa",english,french ,21,female,0,naturalistic,usa,19 years
330,1208,"augusta, georgia, usa",english,french ,18,female,0,naturalistic,usa,18 years
331,1209,"perth, australia",english,none,28,female,0,naturalistic,australia,28 years
332,1212,"baltimore, maryland, usa",english,none,20,female,0,naturalistic,usa,20 years
333,1214,"spokane, washington, usa",english,none,32,female,0,naturalistic,usa,29 years
334,1215,"derby, england, uk",english,none,18,female,0,naturalistic,uk,18 years
335,1216,"washington, district of columbia, usa",english,none,6,male,0,naturalistic,usa,6 years
336,1217,"baltimore, maryland, usa",english,none,46,female,0,naturalistic,usa,44 years
337,1218,"jersey city, new jersey, usa",english,none,84,female,0,naturalistic,"usa, canada",84 years
338,1219,"sydney, australia",english,french ,53,female,0,naturalistic,"australia, canada",53 years
339,1220,"chicago, illinois, usa",english,none,54,male,0,naturalistic,"usa, canada",54 years
340,1222,"charleston, west virginia, usa",english,none,19,male,0,naturalistic,usa,19 years
341,1224,"new york, new york, usa",english,german ,23,female,0,naturalistic,usa,23 years
342,1225,"kansas city, missouri, usa",english,none,33,male,0,naturalistic,usa,33 years
343,1226,"portland, maine, usa",english,german spanish ,23,male,0,naturalistic,usa,23 years
344,1232,"lumberton, north carolina, usa",english,french spanish ,19,female,0,naturalistic,usa,19 years
345,1233,"kansas city, missouri, usa",english,spanish ,20,male,0,naturalistic,usa,20 years
346,1235,"east hartford, connecticut, usa",english,french ,60,male,0,naturalistic,usa,60 years
347,1236,"burnsville, minnesota, usa",english,spanish ,22,female,0,naturalistic,usa,22 years
348,1237,"las pinas, philippines",english,tagalog ,20,female,0,naturalistic,philippines,20 years
349,1239,"warrenton, virginia, usa",english,none,24,female,0,naturalistic,usa,24 years
350,1241,"polesworth, staffordshire, uk",english,none,18,female,0,naturalistic,uk,18 years
351,1242,"carthage, missouri, usa",english,none,37,male,0,naturalistic,usa,37 years
352,1243,"singapore, singapore",english,mandarin hokkien cantonese hainanese ,25,male,0,naturalistic,singapore,25 years
353,1246,"saskatoon, saskatchewan, canada",english,french ,18,male,0,naturalistic,canada,18 years
354,1250,"christchurch, new zealand",english,maori french german ,23,female,0,naturalistic,"new zealand, ireland, uk, usa",22 years
355,1256,"los angeles, california, usa",english,vietnamese ,19,male,0,naturalistic,usa,19 years
356,1257,"morden, manitoba, canada",english,none,23,female,0,naturalistic,canada,23 years
357,1258,"alto, georgia, usa",english,german ,24,male,0,naturalistic,usa,24 years
358,1259,"fredericton, new brunswick, canada",english,none,19,male,0,naturalistic,canada,19 years
359,1276,"sackville, new brunswick, canada",english,french latin german italian spanish ,32,male,0,naturalistic,"canada, usa",32 years
360,1277,"erie, pennsylvania, usa",english,hebrew ,19,female,0,naturalistic,usa,19 years
361,1280,"burnsville, minnesota, usa",english,spanish chinese ,20,female,0,naturalistic,usa,20 years
362,1281,"cork, ireland",english,irish ,21,male,0,naturalistic,ireland,21 years
363,1287,"castle donington, uk",english,none,20,male,0,naturalistic,uk,20 years
364,1288,"sydney, australia",english,french tagalog ,28,female,0,naturalistic,australia,24 years
365,1292,"oxford, uk",english,french ,52,male,0,naturalistic,uk,52 years
366,1293,"bournesmouth, uk",english,none,25,female,0,naturalistic,uk,25 years
367,1294,"birkenhead, uk",english,french russian ,25,female,0,naturalistic,uk,23 years
368,1295,"strattford-on-avon, uk",english,french german ,43,male,0,naturalistic,"uk, singapore",43 years
369,1297,"mcminnville, oregon, usa",english,spanish ,27,male,0,naturalistic,usa,27 years
370,1302,"pondicherry, india",english,french tamil ,22,male,0,naturalistic,"canada, ireland",16 years
371,1303,"colorado springs, colorado, usa",english,french ,27,female,0,naturalistic,"usa, canada",27 years
372,1307,"christiansburg, virginia, usa",english,none,80,male,0,naturalistic,usa,80 years
373,1308,"russellville, kentucky, usa",english,none,22,male,0,naturalistic,usa,22 years
374,1310,"milford haven, wales, uk",english,welsh ,36,male,0,naturalistic,uk,36 years
375,1312,"manchester, connecticut, usa",english,spanish ,28,male,0,naturalistic,"usa, uk",28 years
376,1315,"pasadena, california, usa",english,none,46,male,0,naturalistic,usa,46 years
377,1319,"trenton, michigan, usa",english,none,32,female,0,naturalistic,usa,32 years
378,1320,"silver spring, maryland, usa",english,none,38,female,0,naturalistic,usa,38 years
379,1321,"summit, new jersey, usa",english,none,43,male,0,naturalistic,usa,43 years
380,1323,"roanoke, virginia, usa",english,spanish french ,34,female,0,naturalistic,usa,33 years
381,1324,"pike county, kentucky, usa",english,none,85,male,0,naturalistic,usa,85 years
382,1325,"arlington, virginia, usa",english,none,34,male,0,naturalistic,usa,29 years
383,1326,"washington, district of columbia, usa",english,none,32,female,0,naturalistic,usa,22 years
384,1327,"williamson, west virginia, usa",english,none,57,male,0,naturalistic,usa,57 years
385,1328,"mcveigh, kentucky, usa",english,none,77,female,0,naturalistic,usa,77 years
386,1330,"los angeles, california, usa",english,spanish ,56,female,0,naturalistic,usa,56 years
387,1331,"lancaster, california, usa",english,spanish ,21,female,0,naturalistic,usa,21 years
388,1332,"bluefield, west virginia, usa",english,none,70,female,0,naturalistic,usa,70 years
389,1333,"aldie, virginia, usa",english,none,71,female,0,naturalistic,usa,71 years
390,1334,"milwaukee, wisconsin, usa",english,mandarin taiwanese ,74,male,0,naturalistic,usa,67 years
391,1335,"milton, florida, usa",english,none,84,female,0,naturalistic,usa,84 years
392,1336,"warrenton, virginia, usa",english,none,62,male,0,naturalistic,usa,62 years
393,1337,"washington, district of columbia, usa",english,french ,58,female,0,naturalistic,usa,58 years
394,1339,"aiken, south carolina, usa",english,none,82,female,0,naturalistic,usa,82 years
395,1340,"alexandria, virginia, usa",english,none,39,male,0,naturalistic,usa,39 years
396,1341,"orange, virginia, usa",english,none,48,female,0,naturalistic,usa,48 years
397,1342,"wadesboro, north carolina, usa",english,none,76,female,0,naturalistic,usa,76 years
398,1343,"salisbury, north carolina, usa",english,none,83,female,0,naturalistic,usa,83 years
399,1345,"la grange, georgia, usa",english,none,80,female,0,naturalistic,usa,80 years
400,1348,"shanklin, isle of wight, uk",english,none,59,female,0,naturalistic,canada,55 years
401,1349,"lucerne, switzerland",english,none,26,male,0,naturalistic,australia,26 years
402,1350,"canberra, australia",english,none,26,female,0,naturalistic,australia,26 years
403,1351,"sydney, australia",english,none,29,female,0,naturalistic,australia,29 years
404,1352,"windsor, australia",english,italian japanese ,29,male,0,naturalistic,australia,29 years
405,1353,"geelong, australia",english,german indonesian ,32,female,0,naturalistic,"australia, usa",30 years
406,1358,"pensacola, florida, usa",english,none,24,female,0,naturalistic,usa,24 years
407,1360,"windsor, ontario, canada",english,maltese ,47,male,0,naturalistic,canada,47 years
408,1361,"lynwood, california, usa",english,spanish ,64,male,0,naturalistic,usa,64 years
409,1362,"maitland, australia",english,french ,60,female,0,naturalistic,australia,60 years
410,1363,"hamilton, new zealand",english,none,35,male,0,naturalistic,"New Zealand, Australia",35 years
411,1371,"washington, district of columbia, usa",english,spanish ,26,female,0,naturalistic,usa,26 years
412,1372,"washington, district of columbia, usa",english,german ,31,female,0,naturalistic,usa,25 years
413,1373,"manchester, england, uk",english,none,20,female,0,naturalistic,uk,20 years
414,1374,"woonsocket, rhode island, usa",english,none,30,female,0,naturalistic,usa,30 years
415,1375,"woonsocket, rhode island, usa",english,none,32,male,0,naturalistic,usa,32 years
416,1377,"sydney, australia",english,portuguese ,34,male,0,naturalistic,"australia, usa",20 years
417,1380,"cardiff, wales, uk",english,german ,20,female,0,naturalistic,uk,20 years
418,1384,"arlington, virginia",english,none,29,male,0,naturalistic,usa,29 years
419,1385,"youngstown, ohio, usa",english,german gaelic ,27,male,0,naturalistic,usa,27 years
420,1387,"auckland, new zealand",english,none,21,male,0,naturalistic,new zealand,21 years
421,1388,"landstuhl, germany",english,french mandarin ,38,male,0,naturalistic,usa,25 years
422,1390,"rochester, new york, usa",english,spanish ,31,male,0,naturalistic,usa,31 years
423,1395,"baltimore, maryland, usa",english,spanish german italian ,24,female,0,naturalistic,usa,24 years
424,1409,"danville, virginia, usa",english,none,75,male,0,naturalistic,usa,75 years
425,1410,"danville, virginia, usa",english,none,31,male,0,naturalistic,usa,31 years
426,1411,"florence, south carolina, usa",english,none,30,female,0,naturalistic,usa,30 years
427,1412,"hanover, pennsylvania, usa",english,none,68,female,0,naturalistic,usa,68 years
428,1413,"kingstree, south carolina, usa",english,none,55,female,0,naturalistic,usa,55 years
429,1416,"philadelphia, pennsylvania, usa",english,german ,19,female,0,naturalistic,usa,19 years
430,1419,"melbourne, australia",english,none,23,female,0,naturalistic,australia,23 years
431,1423,"green bay, wisconsin, usa",english,german ,23,female,0,naturalistic,usa,23 years
432,1428,"dublin, ireland",english,french spanish ,22,female,0,naturalistic,ireland,21 years
433,1430,"gladwin, michigan, usa",english,none,32,female,0,naturalistic,usa,32 years
434,1469,"kansas city, kansas, usa",english,german ,24,male,0,naturalistic,usa,24 years
435,1471,"palm springs, california, usa",english,japanese ,20,female,0,naturalistic,usa,17 years
436,1475,"freeport, the bahamas",english,none,19,female,0,naturalistic,the bahamas,19 years
437,1477,"cleveland, ohio, usa",english,french italian ,21,male,0,naturalistic,usa,21 years
438,1492,"houston, texas, usa",english,none,20,female,0,naturalistic,usa,20 years
439,1493,"richmond, british columbia, canada",english,none,18,female,0,naturalistic,canada,18 years
440,1502,"glasgow, scotland, uk",english,spanish ,22,female,0,naturalistic,scotland,22 years
441,1524,"oquawka, illinois, usa",english,french ,19,female,0,naturalistic,usa,19 years
442,1528,"salisbury mills, new york, usa",english,french spanish ,23,male,0,naturalistic,usa,23 years
443,1530,"fort collins, colorado, usa",english,french spanish ,31,male,0,naturalistic,usa,31 years
444,1531,"anniston, alabama, usa",english,spanish ,24,male,0,naturalistic,usa,24 years
445,1532,"san francisco, california, usa",english,mandarin ,60,male,0,naturalistic,usa,59 years
446,1533,"moorhead, minnesota, usa",english,none,23,female,0,naturalistic,usa,23 years
447,1534,"hartford, connecticut, usa",english,french ,21,male,0,naturalistic,usa,21 years
448,1536,"isle of arran, scotland, uk",english,german ,20,male,0,naturalistic,uk,20 years
449,1538,"barton, vermont, usa",english,none,27,male,0,naturalistic,usa,27 years
450,1544,"windsor, uk",english,french german ,26,male,0,naturalistic,uk,26 years
451,1546,"hazlehurst, georgia, usa",english,russian ,44,male,0,naturalistic,usa,44 years
452,1547,"newcastle, australia",english,none,24,male,0,naturalistic,australia,24 years
453,1548,"chicago, illinois, usa",english,french ,21,female,0,naturalistic,usa,21 years
454,1550,"raleigh, north carolina, usa",english,spanish ,19,female,0,naturalistic,usa,19 years
455,1552,"washington, dc, usa",english,spanish ,29,female,0,naturalistic,usa,29 years
456,1554,"lancashire, leyland, uk",english,none,37,female,0,naturalistic,uk,37 years
457,1555,"syracuse, new york, usa",english,none,43,male,0,naturalistic,usa,40 years
458,1559,"reno, nevada, usa",english,japanese ,22,female,0,naturalistic,usa,22 years
459,1560,"charlotte, north carolina, usa",english,french german ,19,male,0,naturalistic,usa,19 years
460,1561,"rutland, england, uk",english,german ,19,female,0,naturalistic,uk,19 years
461,1563,"poughkeepsie, new york, usa",english,none,44,female,0,naturalistic,usa,44 years
462,1564,"paducah, kentucky, usa",english,german ,20,male,0,naturalistic,usa,20 years
463,1571,"brooklyn, new york, usa",english,french spanish ,53,female,0,naturalistic,usa,53 years
464,1618,"ottawa, ontario, canada",english,german french ,27,male,0,naturalistic,canada,24 years
465,1635,"aylesbury, buckinghamshire, uk",english,french spanish mandarin ,20,male,0,naturalistic,uk,19 years
466,1637,"portland, maine, usa",english,none,18,male,0,naturalistic,usa,18 years
467,1639,"pozzuoli, italy",english,none,23,male,1,naturalistic,usa,18 years
468,1640,"myrtle beach, south carolina, usa",english,"german greek, ancient ",30,male,0,naturalistic,usa,30 years
469,1641,"knoxville, tennessee, usa",english,japanese ,22,male,0,naturalistic,usa,21 years
470,1642,"leighton buzzard, uk",english,french japanese ,21,male,0,naturalistic,uk,20 years
471,1648,"calgary, alberta, canada",english,spanish french ,26,female,0,naturalistic,canada,24.5 years
472,1649,"rota, spain",english,spanish russian ,26,male,0,naturalistic,usa,23 years
473,1650,"nottingham, uk",english,none,20,male,0,naturalistic,uk,20 years
474,1656,"rochester, minnesota, usa",english,spanish ,33,female,0,naturalistic,usa,33 years
475,1657,"ogden, utah, usa",english,none,29,female,0,naturalistic,usa,29 years
476,1658,"manchester, new hampshire, usa",english,none,64,female,0,naturalistic,usa,64 years
477,1659,"san diego, california, usa",english,german ,31,female,0,naturalistic,usa,27 years
478,1661,"sydney, nova scotia, canada",english,none,19,male,0,naturalistic,canada,19 years
479,1664,"new york, new york, usa",english,none,64,female,0,naturalistic,usa,64 years
480,1665,"winston-salem, north carolina, usa",english,none,58,male,0,naturalistic,usa,58 years
481,1666,"stringtown, oklahoma, usa",english,german spanish ,88,female,0,naturalistic,usa,82 years
482,1667,"yeadon, pennsylvania, usa",english,none,74,female,0,naturalistic,usa,74 years
483,1668,"boston, massachusetts, usa",english,spanish ,19,male,0,naturalistic,usa,19 years
484,1672,"dublin, ireland",english,irish french japanese swedish spanish ,24,male,0,naturalistic,ireland,24 years
485,1674,"cromwell, connecticut, usa",english,french ,20,male,0,naturalistic,usa,20 years
486,1683,"corentyne, guyana",english,none,53,female,0,naturalistic,"guyana, usa",53 years
487,1688,"london, uk",english,french ,22,female,0,naturalistic,uk,22 years
488,1692,"irvine, scotland, uk",english,none,35,female,0,naturalistic,"uk, usa",35 years
489,1694,"kingston, jamaica",english,none,46,female,0,naturalistic,"jamaica, usa",46 years
490,1709,"auckland, new zealand",english,none,18,male,0,naturalistic,new zealand,18.5 years
491,1713,"westmoreland, jamaica",english,none,79,female,0,naturalistic,"jamaica, usa",79 years
492,1716,"omaha, nebraska, usa",english,spanish german ,22,female,0,naturalistic,usa,22 years
493,1718,"miami, florida, usa",english,spanish japanese ,20,male,0,naturalistic,usa,13.5 years
494,1719,"findlay, ohio, usa",english,korean japanese ,27.5,male,0,naturalistic,usa,27.5 years
495,1720,"kirkland, washington, usa",english,none,21,male,0,naturalistic,usa,21 years
496,1724,"london, england, uk",english,japanese ,20,male,0,naturalistic,uk,20 years
497,1726,"cleveland, ohio, usa",english,none,22,male,0,naturalistic,usa,22 years
498,1727,"prince george, british columbia, canada",english,french german ,27,male,0,naturalistic,canada,27 years
499,1728,"st. paul, minnesota, usa",english,french ,21,female,0,naturalistic,usa,21 years
500,1733,"albury, new south wales, australia",english,indonesian tongan ,38,male,0,naturalistic,australia,38 years
501,1734,"pittsburgh, pennsylvania, usa",english,none,64,female,0,naturalistic,usa,64 years
502,1735,"farmington hills, michigan, usa",english,none,30,female,0,naturalistic,usa,30 years
503,1739,"benin city, nigeria",english,spanish german ,29,female,0,naturalistic,"nigeria, usa",25 years
504,1786,"west palm beach, florida, usa",english,japanese ,25,male,0,naturalistic,usa,25 years
505,1798,"beirut, lebanon",english,french italian arabic spanish mandarin ,50,female,0,naturalistic,usa,9 years
506,1799,"new orleans, louisiana, usa",english,french mandarin ,30,female,0,naturalistic,usa,30 years
507,1800,"accra, ghana",english,twi ga spanish ,21,male,0,naturalistic,"ghana, usa",21 years
508,1801,"winfield, illinois, usa",english,spanish ,20,female,0,naturalistic,usa,20 years
509,1802,"coudersport, pennsylvania, usa",english,spanish ,44,female,0,naturalistic,usa,35 years
510,1803,"philadelphia, pennsylvania, usa",english,french ,66,female,0,naturalistic,usa,66 years
511,1818,"montgomery, alabama, usa",english,german ,31,female,0,naturalistic,usa,31 years
512,1819,"salina, kansas, usa",english,none,54,female,0,naturalistic,usa,54 years
513,1856,"bocas del toro, panama",english,spanish ,52,female,0,naturalistic,"panama, usa",52 years
514,1872,"youngstown, ohio, usa",english,none,57,male,0,naturalistic,usa,57 years
515,1873,"youngstown, ohio, usa",english,none,55,female,0,naturalistic,usa,55 years
516,1875,"dripping springs, texas, usa",english,french japanese mandarin german ,32,female,0,naturalistic,usa,32 years
517,1876,"colorado springs, colorado, usa",english,spanish ,33,male,0,naturalistic,usa,33 years
518,1878,"kells, meath, ireland",english,irish ,24,male,0,naturalistic,ireland,24 years
519,1882,"karachi, pakistan",english,urdu german ,18,female,1,naturalistic,"canada, usa",16 years
520,1884,"st. paul, minnesota, usa",english,mandarin spanish ,47,female,0,naturalistic,usa,47 years
521,1886,"bethesda, maryland, usa",english,spanish ,25,female,0,naturalistic,usa,25 years
522,1887,"bethpage, new york, usa",english,none,22,female,0,naturalistic,usa,22 years
523,1888,"madison, wisconsin, usa",english,arabic french ,18,female,0,naturalistic,usa,18 years
524,1890,"downers grove, illinois, usa",english,none,19,male,0,naturalistic,usa,19 years
525,1893,"albion, new york, usa",english,none,18,female,0,naturalistic,usa,18 years
526,1895,"woodbridge, virginia, usa",english,none,20,male,0,naturalistic,usa,20 years
527,1907,"wynnewood, pennsylvania, usa",english,italian ,25,female,0,naturalistic,usa,25 years
528,1908,"green bay, wisconsin, usa",english,arabic farsi swahili spanish ,52,female,0,naturalistic,usa,52 years
529,1925,"burlington, vermont, usa",english,french spanish ,29,female,0,naturalistic,usa,29 years
530,1926,"detroit, michigan, usa",english,german ,50,female,0,naturalistic,usa,35 years
531,1928,"nokesville, virginia, usa",english,japanese french german ,29,female,0,naturalistic,usa,26 years
532,1933,"bristol, connecticut, usa",english,none,23,female,0,naturalistic,usa,23 years
533,1934,"fairfax, virginia, usa",english,spanish ,38,female,0,naturalistic,usa,38 years
534,1951,"mineola, new york, usa",english,none,29,female,0,naturalistic,usa,29 years
535,1955,"plymouth, massachusetts, usa",english,none,22,female,0,naturalistic,usa,22 years
536,1956,"richmond, virginia, usa",english,hebrew spanish ,21,female,0,naturalistic,usa,21 years
537,1957,"woodbridge, virginia, usa",english,spanish ,21,female,0,naturalistic,usa,21 years
538,1958,"lyndhurst, virginia, usa",english,french american sign language ,20,female,0,naturalistic,usa,20 years
539,1959,"orange county, california, usa",english,none,19,female,0,naturalistic,usa,19 years
540,1960,"arlington, virginia, usa",english,japanese ,18,female,0,naturalistic,usa,18 years
541,1961,"fort lauderdale, florida, usa",english,none,27,female,0,naturalistic,usa,27 years
542,1962,"toronto, ontario, canada",english,french ,60,male,0,naturalistic,"canada, usa",55 years
543,1969,"vancouver, british columbia, canada",english,french japanese ,39,female,0,naturalistic,"canada, usa, uk, cayman islands",36 years
544,1970,"hanover, new hampshire, usa",english,spanish ,31,male,0,naturalistic,usa,31 years
545,1995,"tangier island, virginia, usa",english,none,56,male,0,naturalistic,usa,56 years
546,1996,"tangier island, virginia, usa",english,none,43,female,0,naturalistic,usa,43 years
547,1997,"tangier island, virginia, usa",english,none,63,male,0,naturalistic,usa,63 years
548,2003,"dublin, ireland",english,irish ,61,male,0,naturalistic,ireland,61 years
549,2012,"exminister, uk",english,french arabic ,19,female,0,naturalistic,"uk, usa",17 years
550,2028,"fredericksburg, virginia, usa",english,none,82,male,0,naturalistic,usa,82 years
551,2029,"king george, virginia, usa",english,none,81,female,0,naturalistic,usa,81 years
552,2043,"bethesda, maryland, usa",english,french italian ,23,female,0,naturalistic,USA,20 years
553,2046,"nashville, tennessee, usa",english,spanish ,21,male,0,naturalistic,usa,21 years
554,2047,"hoffman estates, illinois, usa",english,spanish ,22,female,0,naturalistic,usa,22 years
555,2049,"brooklyn, new york, usa",english,yiddish spanish ,90,male,0,naturalistic,usa,90 years
556,2050,"brooklyn, new york, usa",english,yiddish ,84,female,0,naturalistic,usa,84 years
557,2053,"sharjah, united arab emirates",english,tamil hindi arabic ,25,female,2,naturalistic,usa,6 years
558,2055,"queens, new york, usa",english,none,23,male,0,naturalistic,usa,23 years
559,2056,"reston, virginia, usa",english,spanish ,19,female,0,naturalistic,usa,19 years
560,2059,"hartford, connecticut, usa",english,spanish ,22,female,0,naturalistic,usa,22 years
561,2060,"yorktown, virginia, usa",english,spanish ,20,female,0,naturalistic,usa,20 years
